Category,Type,Brand Name,Size,Strength,Retailer margin,Round Off,Special Purpose Fee,MRP,Bottle/case,,,,,,,,,,,,,,,,
IMFL,Beer,Premium Kiq,650  ml,,7.72,2.03,0,120,12,,,,,,,,,,,,,,,,
IMFL,Beer,PREMIUM KIQ ULTRA LAGER BEER,330 ml,,3.75,2.7,0,60,24,,,,,,,,,,,,,,,,
IMFL,Beer,PREMIUM KIQ ULTRA LAGER BEER,500 ml,,6.39,2.3,0,100,24,,,,,,,,,,,,,,,,
IMFL,Beer,PREMIUM KIQ ULTRA LAGER BEER,650  ml,,,,,,12,,,,,,,,,,,,,,,,
IMFL,Beer,PREMIUM KIQ WHEAT MILD BEER,330 ml,,,,,105,24,,,,,,,,,,,,,,,,
IMFL,Beer,PREMIUM KIQ WHEAT MILD BEER,500 ml,,,,,110,24,,,,,,,,,,,,,,,,
IMFL,Beer,Royal Challenge Beer,330 ml,,,,,55,24,,,,,,,,,,,,,,,,
IMFL,Beer,Royal Challenge Beer,500 ml,,,,,85,24,,,,,,,,,,,,,,,,
IMFL,Beer,Royal Challenge Beer,650  ml,,,,,105,12,,,,,,,,,,,,,,,,
IMFL,Beer,Tuborg 1880 Classic Beer,330 ml,,,,,,24,,,,,,,,,,,,,,,,
IMFL,Beer,Tuborg 1880 Classic Beer,500 ml,,,,,,24,,,,,,,,,,,,,,,,
IMFL,Beer,Tuborg 1880 Classic Beer,650  ml,,8.52,4.79,0,135,12,,,,,,,,,,,,,,,,
IMFL,Beer,Tuborg 1880 Mild Beer,330 ml,,3.66,4.13,0,60,24,,,,,,,,,,,,,,,,
IMFL,Beer,Tuborg 1880 Mild Beer,500 ml,,,,,,24,,,,,,,,,,,,,,,,
IMFL,Beer,Tuborg 1880 Mild Beer,650  ml,,7.23,4.44,0,115,12,,,,,,,,,,,,,,,,
IMFL,Beer,Tuborg 1880 Strong Beer,330 ml,,,,,,24,,,,,,,,,,,,,,,,
IMFL,Beer,Tuborg 1880 Strong Beer,500 ml,,,,0,100,24,,,,,,,,,,,,,,,,
IMFL,Beer,Tuborg 1880 Strong Beer,650  ml,,7.72,2.03,0,120,12,,,,,,,,,,,,,,,,
IMFL,Brandy,Doctor's Triple Crown VSOP Brandy,180 ml,25,9.93,3.14,25,180,48,,,,,,,,,,,,,,,,
IMFL,Brandy,Doctor's Triple Crown VSOP Brandy,375 ml,25,20.54,1.11,25,340,24,,,,,,,,,,,,,,,,
IMFL,Brandy,Doctor's Triple Crown VSOP Brandy,750  ml,25,41.07,7.22,25,660,12,,,,,,,,,,,,,,,,
IMFL,Brandy,FINEST MANSION HOUSE FRENCH BRANDY,180 ml,25,,,35,210,48,,,,,,,,,,,,,,,,
