Category,Type,Brand Name,Size,Strength,Retailer margin,Round Off,Special Purpose Fee,MRP,Bottle/case,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Jamaican Passion,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Orange,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Super Select Crisp Watermelon Mint Flavour,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Super Select Delicious black Berry Crush Flavour,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Super Select Exotic Jamaican Passion Flavour,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Super Select Tangy Cranberry Flavour,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Super Select Tasty Blue Berry Flavour,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Super Select Zesty Orange Flavour,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Watermelon Mint,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
OS,Liqueur,Aperol,700 ml,25,,,,2270,,,,,,,,,,,,,,,,,
OS,Liqueur,Baileys The Original Irish Cream,750  ml,25,,,,1980,12,,,,,,,,,,,,,,,,
OS,Liqueur,Campari Milano Bitter,750  ml,25,174.3,5.64,100,2770,12,,,,,,,,,,,,,,,,
OS,Liqueur,Drambuie Liqueur,750  ml,25,,,,2850,12,,,,,,,,,,,,,,,,
OS,Liqueur,Jack Daniel's Cinnamon Spice Tennessee Fire Finely Crafted Cinnamon Liqueur,750  ml,25,172.86,7.78,100,2750,12,,,,,,,,,,,,,,,,
OS,Liqueur,Jack Daniel's Original Recipe Tennessee Apple Finely Crafted Apple Liqueur,750  ml,25,,,,2750,12,,,,,,,,,,,,,,,,
OS,Liqueur,JACK DANIEL'S ORIGINAL RECIPE TENNESSEE HONEY FINELY CRAFTED HONEY LIQUEUR,750  ml,25,,,,2750,12,,,,,,,,,,,,,,,,
OS,Liqueur,Jagermeister,375 ml,25,,,,1550,24,,,,,,,,,,,,,,,,
OS,Liqueur,Jagermeister,750  ml,25,,,,2980,12,,,,,,,,,,,,,,,,
OS,Liqueur,Liqueur Triple Sec,700 ml,25,,,,2020,12,,,,,,,,,,,,,,,,
OS,Liqueur,Martini Rosso Vermouth,1000 ml,25,,,,1930,,,,,,,,,,,,,,,,,
OS,Liqueur,Molinari Sambuca Extra Liqueur,750  ml,25,164.81,0.78,100,2620,12,,,,,,,,,,,,,,,,
OS,Liqueur,Orange Duck Triple Sec Liqueur,700 ml,25,,,,2170,12,,,,,,,,,,,,,,,,
OS,Liqueur,Patron XO Cafe,750  ml,25,,,,3760,12,,,,,,,,,,,,,,,,
OS,Liqueur,Ricard Anise,750  ml,25,,,,2290,12,,,,,,,,,,,,,,,,
OS,Liqueur,SAMBUCA LIQUEUR,700 ml,25,,,,2170,12,,,,,,,,,,,,,,,,
OS,Liqueur,XENTA ABSENTA,700 ml,25,,,,4060,12,,,,,,,,,,,,,,,,
OS,Rum,Bacardi Anejo Cuatro Aged 4 Years Aged Gold Rum,750  ml,25,,,,2650,12,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Apple Original Apple Rum,180 ml,25,,,60,280,48,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Apple Original Apple Rum,375 ml,25,28.5,4.3,60,50 0,24,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Apple Original Apple Rum,750  ml,25,,,60,940,12,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Carta Blanca Superior White Rum,180 ml,25,12.52,3.62,45,240,48,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Carta Blanca Superior White Rum,375 ml,25,25.81,0.5,45,440,24,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Carta Blanca Superior White Rum,750  ml,25,51.62,6,45,840,12,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Limon Original Citrus Rum,180 ml,25,13.84,8.52,60,280,48,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Limon Original Citrus Rum,375 ml,25,28.5,4.3,60,50 0,24,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Limon Original Citrus Rum,750  ml,25,57.01,8.6,60,940,12,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Orange Original Orange Rum,375 ml,25,28.5,4.3,60,50 0,24,,,,,,,,,,,,,,,,
IMFL,Rum,Bacardi Orange Original Orange Rum,750  ml,25,,,60,940,12,,,,,,,,,,,,,,,,
OS,Rum,Bacardi Reserva Ocho Aged 8 Years,750  ml,25,184.85,4.52,100,2930,12,,,,,,,,,,,,,,,,
IMFL,Rum,Black By Bacardi Deluxe Original Premium Crafted Rum,180 ml,25,10.32,7.2,35,200,48,,,,,,,,,,,,,,,,
IMFL,Rum,Black By Bacardi Deluxe Original Premium Crafted Rum,375 ml,25,21.35,8.66,35,370,24,,,,,,,,,,,,,,,,
IMFL,Rum,Black By Bacardi Deluxe Original Premium Crafted Rum,750  ml,25,42.7,2.32,35,690,12,,,,,,,,,,,,,,,,
IMFL,Rum,Black By Bacardi Original Premium Crafted Rum,750  ml,25,,,,690,12,,,,,,,,,,,,,,,,
IMFL,Rum,BLACK CAT SPECIAL RUM,180 ml,50,,,,100,48,,,,,,,,,,,,,,,,
IMFL,Rum,BLACK CAT SPECIAL RUM,375 ml,50,6.47,,,120,24,,,,,,,,,,,,,,,,
IMFL,Rum,BLACK CAT SPECIAL RUM,750  ml,50,12.94,2.22,0,200,12,,,,,,,,,,,,,,,,
IMFL,Rum,Calypso Original XXX Rum,375 ml,50,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,Calypso Original XXX Rum,500 ml,50,,,,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,Calypso Original XXX Rum,750  ml,50,,,,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,Captain Morgan the original Rum,180 ml,25,9.45,0.51,25,170,48,,,,,,,,,,,,,,,,
IMFL,Rum,Captain Morgan the original Rum,375 ml,25,19.55,6.17,25,330,24,,,,,,,,,,,,,,,,
IMFL,Rum,Captain Morgan the original Rum,750  ml,25,39.1,7.35,25,630,12,,,,,,,,,,,,,,,,
IMFL,Rum,CONTESSA MATURED XXX RUM,180 ml,25,7.4,1.88,5,120,48,,,,,,,,,,,,,,,,
IMFL,Rum,CONTESSA MATURED XXX RUM,375 ml,25,15.34,0.57,5,240,24,,,,,,,,,,,,,,,,
IMFL,Rum,CONTESSA MATURED XXX RUM,750  ml,25,30.67,6.14,5,480,12,,,,,,,,,,,,,,,,
IMFL,Rum,COSMOS FIFTY XXX RUM,375 ml,50,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,COSMOS FIFTY XXX RUM,500 ml,50,,,,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,COSMOS FIFTY XXX RUM,750  ml,50,,,,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,EMBOSS XXX Rum,375 ml,50,6.38,2.49,0,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,EMBOSS XXX Rum,750  ml,50,12.75,0.07,0,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,Episode Deluxe xxx Rum,180 ml,25,8.12,0.93,15,140,48,,,,,,,,,,,,,,,,
IMFL,Rum,Episode Deluxe xxx Rum,375 ml,25,16.81,8.02,15,280,24,,,,,,,,,,,,,,,,
IMFL,Rum,Episode Deluxe xxx Rum,750  ml,25,,,,530,12,,,,,,,,,,,,,,,,
IMFL,Rum,Golden Monkey Dark Classic Rum,375 ml,25,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,Golden Monkey Dark Classic Rum,500 ml,25,,,,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,Golden Monkey Dark Classic Rum,750  ml,25,,,,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,Himalayan Bear Fine Indian Rum,375 ml,25,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,Himalayan Bear Fine Indian Rum,500 ml,25,,,,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,Himalayan Bear Fine Indian Rum,750  ml,25,,,,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,Madira XXX Rum,750  ml,25,,,,630,12,,,,,,,,,,,,,,,,
IMFL,Rum,McDowells No.1 Celebration Matured XXX Rum,180 ml,25,8.15,0.5,15,140,48,,,,,,,,,,,,,,,,
IMFL,Rum,McDowells No.1 Celebration Matured XXX Rum,375 ml,25,16.87,7.14,15,280,24,,,,,,,,,,,,,,,,
IMFL,Rum,McDowells No.1 Celebration Matured XXX Rum,500 ml,25,21.69,3.42,15,350,24,,,,,,,,,,,,,,,,
IMFL,Rum,McDowells No.1 Celebration Matured XXX Rum,750  ml,25,33.74,9.29,15,540,12,,,,,,,,,,,,,,,,
IMFL,Rum,McDowells No.1 Celebration Matured XXX Rum,90 ml,25,,,,80,96,,,,,,,,,,,,,,,,
IMFL,Rum,Night Fighter's Matured XXX Rum,375 ml,50,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,Night Fighter's Matured XXX Rum,500 ml,50,,,,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,Night Fighter's Matured XXX Rum,750  ml,50,,,,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,Officer's Choice Original XXX Rum,750  ml,25,,,,470,12,,,,,,,,,,,,,,,,
IMFL,Rum,Old Habbit XXX Rum,180 ml,25,,,,190,48,,,,,,,,,,,,,,,,
IMFL,Rum,Old Habbit XXX Rum,375 ml,25,,,,350,24,,,,,,,,,,,,,,,,
IMFL,Rum,Old Habbit XXX Rum,750  ml,25,,,,670,12,,,,,,,,,,,,,,,,
IMFL,Rum,OLD MONK APPLE RUM,750  ml,25,43.9,3.95,35,710,12,,,,,,,,,,,,,,,,
IMFL,Rum,OLD MONK GOLD RESERVE SELECT RUM,180 ml,25,10.09,0.84,25,180,48,,,,,,,,,,,,,,,,
IMFL,Rum,OLD MONK GOLD RESERVE SELECT RUM,375 ml,25,20.84,6.52,25,350,24,,,,,,,,,,,,,,,,
IMFL,Rum,OLD MONK GOLD RESERVE SELECT RUM,750  ml,25,41.67,8.03,25,670,12,,,,,,,,,,,,,,,,
IMFL,Rum,Old Monk Lemon Rum,750  ml,25,43.9,3.95,35,710,12,,,,,,,,,,,,,,,,
IMFL,Rum,Old Monk Matured XXX Premium Rum Very Old Vatted,180 ml,25,8.14,0.59,15,140,48,,,,,,,,,,,,,,,,
IMFL,Rum,Old Monk Matured XXX Premium Rum Very Old Vatted,375 ml,25,16.86,7.33,15,280,24,,,,,,,,,,,,,,,,
IMFL,Rum,Old Monk Matured XXX Premium Rum Very Old Vatted,500 ml,25,22.48,1.44,15,360,18,,,,,,,,,,,,,,,,
IMFL,Rum,Old Monk Matured XXX Premium Rum Very Old Vatted,750  ml,25,33.71,9.66,15,540,12,,,,,,,,,,,,,,,,
IMFL,Rum,OLD MONK ORANGE RUM,750  ml,25,,,,710,12,,,,,,,,,,,,,,,,
IMFL,Rum,Old Monk Supreme Deluxe XXX Rum Very Old Vatted,750  ml,25,,,,740,12,,,,,,,,,,,,,,,,
IMFL,Rum,Old Monk The Legend Rum Very Old Vatted,750  ml,25,49.72,4.94,35,800,12,,,,,,,,,,,,,,,,
IMFL,Rum,OLD MONK WHITE PREMIUM RUM,180 ml,25,10.09,0.84,25,180,48,,,,,,,,,,,,,,,,
IMFL,Rum,OLD MONK WHITE PREMIUM RUM,375 ml,25,20.84,6.52,25,350,24,,,,,,,,,,,,,,,,
IMFL,Rum,OLD MONK WHITE PREMIUM RUM,750  ml,25,41.67,8.03,25,670,12,,,,,,,,,,,,,,,,
IMFL,Rum,Red Indian XXX Deluxe Rum,180 ml,25,10.43,5.62,35,200,48,,,,,,,,,,,,,,,,
IMFL,Rum,Red Indian XXX Deluxe Rum,375 ml,25,21.56,5.49,35,370,24,,,,,,,,,,,,,,,,
IMFL,Rum,Red Indian XXX Deluxe Rum,750  ml,25,43.11,5.98,35,700,12,,,,,,,,,,,,,,,,
IMFL,Rum,ROCK THE REAL RUM,180 ml,25,7.74,6.76,5,130,48,,,,,,,,,,,,,,,,
IMFL,Rum,ROCK THE REAL RUM,375 ml,25,16.03,0,5,250,24,,,,,,,,,,,,,,,,
IMFL,Rum,ROCK THE REAL RUM,750  ml,25,32.06,5.01,5,500,12,,,,,,,,,,,,,,,,
IMFL,Rum,Royal Gentleman XXX Rum,375 ml,50,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,Royal Gentleman XXX Rum,500 ml,50,,,,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,Royal Gentleman XXX Rum,750  ml,50,,,,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,Rumba Rum,375 ml,50,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,Rumba Rum,500 ml,50,8.5,0.05,0,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,Rumba Rum,750  ml,50,12.75,0.07,0,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,Rumbola Matured XXX Rum,375 ml,50,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,Rumbola Matured XXX Rum,500 ml,50,,,,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,Rumbola Matured XXX Rum,750  ml,50,,,,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,SENEOR XXX Rum,375 ml,50,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,SENEOR XXX Rum,750  ml,50,,,,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,SKD'S EXXOBER,375 ml,50,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,SKD'S EXXOBER,500 ml,50,,,,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,SKD'S EXXOBER,750  ml,50,,,,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,SSPL Port Jamaica,375 ml,50,,,,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,SSPL Port Jamaica,500 ml,50,,,,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,SSPL Port Jamaica,750  ml,50,,,,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,TOP 10 XXX RUM,375 ml,50,6.38,2.53,0,100,24,,,,,,,,,,,,,,,,
IMFL,Rum,TOP 10 XXX RUM,500 ml,50,8.5,0.05,0,130,18,,,,,,,,,,,,,,,,
IMFL,Rum,TOP 10 XXX RUM,750  ml,50,12.75,0.07,0,195,12,,,,,,,,,,,,,,,,
IMFL,Rum,Very Old Vatted Old Monk Premium Rum,180 ml,25,9.53,9.4,25,180,48,,,,,,,,,,,,,,,,
IMFL,Rum,Very Old Vatted Old Monk Premium Rum,375 ml,25,19.69,3.97,25,330,24,,,,,,,,,,,,,,,,
IMFL,Rum,Very Old Vatted Old Monk Premium Rum,750  ml,25,39.39,2.94,25,630,12,,,,,,,,,,,,,,,,
IMFL,Rum,XXX WONDER BLEND DARK RUM,500 ml,25,,,,370,18,,,,,,,,,,,,,,,,
IMFL,Rum,XXX WONDER BLEND DARK RUM,750  ml,25,,,,560,,,,,,,,,,,,,,,,,
OS,Tequila,Camino Real Gold Tequila,750  ml,25,,,,2240,12,,,,,,,,,,,,,,,,
OS,Tequila,CASCO VIEJO GOLD TEQUILA,750  ml,25,150.47,9.97,100,2410,12,,,,,,,,,,,,,,,,
OS,Tequila,CASCO VIEJO SILVER TEQUILA,750  ml,25,150.47,9.97,100,2410,12,,,,,,,,,,,,,,,,
OS,Tequila,Corralejo Blanco Tequila,750  ml,25,,,,7210,12,,,,,,,,,,,,,,,,
OS,Tequila,Corralejo Reposado Tequila,750  ml,25,,,,7210,12,,,,,,,,,,,,,,,,
OS,Tequila,DON ANGEL TEQUILA BLANCO,750  ml,25,,,,2490,12,,,,,,,,,,,,,,,,
OS,Tequila,"Don Angel, Tequila ORO",1000 ml,25,,,,2610,9,,,,,,,,,,,,,,,,
OS,Tequila,La Chica Tequila Blanco,700 ml,25,,,,1930,12,,,,,,,,,,,,,,,,
OS,Tequila,La Chica Tequila Gold,700 ml,25,,,,1930,12,,,,,,,,,,,,,,,,
OS,Tequila,Patron Silver Tequila,750  ml,25,,,,5050,12,,,,,,,,,,,,,,,,
OS,Tequila,Tequila Acapulco Gold,700 ml,25,,,,2140,12,,,,,,,,,,,,,,,,
OS,Tequila,Tequila Acapulco Silver,700 ml,25,,,,2090,12,,,,,,,,,,,,,,,,
OS,Tequila,Tequila Camino Real Blanco,750  ml,25,,,,2240,12,,,,,,,,,,,,,,,,
OS,Tequila,TEQUILA CORRALEJO ANEJO,750  ml,25,,,,9310,12,,,,,,,,,,,,,,,,
OS,Tequila,TEQUILA CORRALEJO TRIPLE DESTILADO,750  ml,25,,,,8050,12,,,,,,,,,,,,,,,,
OS,Vodka,2nite Vodka,1000 ml,25,,,,2740,9,,,,,,,,,,,,,,,,
OS,Vodka,Absolut Citron Lemon Flavoured Vodka,750  ml,25,,,,1870,12,,,,,,,,,,,,,,,,
OS,Vodka,Absolut Elyx Vodka,750  ml,25,,,,3040,12,,,,,,,,,,,,,,,,
OS,Vodka,Absolut Grapefruit,750  ml,25,,,,1900,12,,,,,,,,,,,,,,,,
OS,Vodka,ABSOLUT LIME LIME FLAVORED VODKA,750  ml,25,,,,1850,12,,,,,,,,,,,,,,,,
OS,Vodka,Absolut Mandrin Mandarin Flavoured Vodka,750  ml,25,,,,1870,12,,,,,,,,,,,,,,,,
OS,Vodka,ABSOLUT RASPBERRI RASPBERRY FLAVORED VODKA,750  ml,25,,,,1880,12,,,,,,,,,,,,,,,,
OS,Vodka,Absolut Vodka,200 ml,25,,,,660,,,,,,,,,,,,,,,,,
OS,Vodka,Absolut Vodka,750  ml,25,111.03,2.76,90,1790,12,,,,,,,,,,,,,,,,
OS,Vodka,Absolut Vodka Rainbow,750  ml,25,,,,1790,12,,,,,,,,,,,,,,,,
OS,Vodka,BELUGA NOBLE VODKA,700 ml,25,,,,4080,12,,,,,,,,,,,,,,,,
OS,Vodka,Belvedere Vodka,700 ml,25,,,,3450,12,,,,,,,,,,,,,,,,
OS,Vodka,Ciroc Snap Frost Vodka,750  ml,25,,,,3370,12,,,,,,,,,,,,,,,,
OS,Vodka,D'YAVOL SINGLE ESTATE VODKA,750  ml,25,,,,3690,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Eristoff Triple Distilled Premium Vodka,750  ml,25,,,,760,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Fine Grain Voltage + Vodka,250  ml,50,,,,65,,,,,,,,,,,,,,,,,
IMFL,Vodka,Fine Grain Voltage + Vodka,375 ml,50,6.38,2.53,0,100,24,,,,,,,,,,,,,,,,
IMFL,Vodka,Fine Grain Voltage + Vodka,500 ml,50,,,,130,18,,,,,,,,,,,,,,,,
IMFL,Vodka,Fine Grain Voltage + Vodka,750  ml,50,12.75,0.07,0,195,12,,,,,,,,,,,,,,,,
OS,Vodka,Finlandia Vodka of Finland,750  ml,25,,,,1870,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Gladiator Vintage Vodka,375 ml,50,6.38,2.53,0,100,24,,,,,,,,,,,,,,,,
IMFL,Vodka,Gladiator Vintage Vodka,500 ml,50,8.5,0.05,0,130,18,,,,,,,,,,,,,,,,
IMFL,Vodka,Gladiator Vintage Vodka,750  ml,50,12.75,0.07,0,195,12,,,,,,,,,,,,,,,,
OS,Vodka,Grey Goose Vodka,750  ml,25,225.65,0.78,110,3560,12,,,,,,,,,,,,,,,,
OS,Vodka,Ketel One Vodka,750  ml,25,,,,1810,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Knight Rider Ultra Premium Green Apple Vodka,180 ml,25,10.09,0.84,25,180,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Knight Rider Ultra Premium Green Apple Vodka,375 ml,25,20.84,6.52,25,350,24,,,,,,,,,,,,,,,,
IMFL,Vodka,Knight Rider Ultra Premium Green Apple Vodka,750  ml,25,41.67,8.03,25,670,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Knight Rider Ultra Premium Vodka,180 ml,25,9.79,5.34,25,180,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Knight Rider Ultra Premium Vodka,375 ml,25,20.25,5.52,25,340,24,,,,,,,,,,,,,,,,
IMFL,Vodka,Knight Rider Ultra Premium Vodka,750  ml,25,40.49,6.03,25,650,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Kremlin Award Classic Vodka,700 ml,25,,,,3290,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Pure Grain Vodka,180 ml,25,9.37,1.7,25,170,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Pure Grain Vodka,375 ml,25,19.39,8.56,25,330,24,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Pure Grain Vodka,750  ml,25,38.79,2.12,25,620,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Remix Flavoured Vodka Chocolate,180 ml,25,10.76,0.6,35,200,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Remix Flavoured Vodka Chocolate,375 ml,25,22.21,5.52,35,380,24,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS REMIX GRAPEFRUIT & WATERMELON SMOOTH FLAVOURED VODKA,180 ml,25,10.76,0.6,35,200,48,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS REMIX GRAPEFRUIT & WATERMELON SMOOTH FLAVOURED VODKA,375 ml,25,22.21,5.52,35,380,24,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS REMIX GRAPEFRUIT & WATERMELON SMOOTH FLAVOURED VODKA,750  ml,25,44.42,6.05,35,720,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Remix Smooth Green Apple Flavoured Vodka,180 ml,25,10.76,0.6,35,200,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Remix Smooth Green Apple Flavoured Vodka,375 ml,25,22.21,5.52,35,380,24,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Remix Smooth Green Apple Flavoured Vodka,750  ml,25,44.42,6.05,35,720,12,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS REMIX SMOOTH LEMON FLAVOURED VODKA,180 ml,25,10.76,0.6,35,200,48,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS REMIX SMOOTH LEMON FLAVOURED VODKA,375 ml,25,22.21,5.52,35,380,24,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS REMIX SMOOTH LEMON FLAVOURED VODKA,750  ml,25,44.42,6.05,35,720,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Remix Smooth Orange Flavoured Vodka,180 ml,25,10.76,0.6,35,200,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Remix Smooth Orange Flavoured Vodka,375 ml,25,22.21,5.52,35,380,24,,,,,,,,,,,,,,,,
IMFL,Vodka,Magic Moments Remix Smooth Orange Flavoured Vodka,750  ml,25,44.42,6.05,35,720,12,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS VERVE GREEN APPLE PREMIUM FLAVOURED VODKA,180 ml,25,,,35,220,48,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS VERVE GREEN APPLE PREMIUM FLAVOURED VODKA,375 ml,25,24.86,4.97,35,420,24,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS VERVE GREEN APPLE PREMIUM FLAVOURED VODKA,750  ml,25,49.72,4.94,35,800,12,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS VERVE PREMIUM VODKA,180 ml,25,11.63,7.25,35,220,48,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS VERVE PREMIUM VODKA,375 ml,25,23.99,8.33,35,410,24,,,,,,,,,,,,,,,,
IMFL,Vodka,MAGIC MOMENTS VERVE PREMIUM VODKA,750  ml,25,47.98,1.67,35,770,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Red Bliss Virgin VODKA,180 ml,25,9.35,2.11,25,170,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Red Bliss Virgin VODKA,375 ml,25,,,25,330,24,,,,,,,,,,,,,,,,
IMFL,Vodka,Red Bliss Virgin VODKA,750  ml,25,,,25,620,12,,,,,,,,,,,,,,,,
IMFL,Vodka,S1 VODKA,180 ml,25,,,,150,48,,,,,,,,,,,,,,,,
IMFL,Vodka,S1 VODKA,375 ml,25,,,,290,24,,,,,,,,,,,,,,,,
IMFL,Vodka,S1 VODKA,500 ml,25,,,,370,18,,,,,,,,,,,,,,,,
IMFL,Vodka,S1 VODKA,750  ml,25,,,,560,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Seagrams Fuel Vodka,180 ml,25,9.3,2.8,25,170,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Seagrams Fuel Vodka,375 ml,25,19.25,0.77,25,320,24,,,,,,,,,,,,,,,,
IMFL,Vodka,Seagrams Fuel Vodka,750  ml,25,,,25,620,12,,,,,,,,,,,,,,,,
OS,Vodka,Skyy Vodka,750  ml,25,,,,2090,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Smirnoff Triple Distilled Vodka,180 ml,25,,,45,240,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Smirnoff Triple Distilled Vodka,375 ml,25,,,45,430,24,,,,,,,,,,,,,,,,
IMFL,Vodka,Smirnoff Triple Distilled Vodka,750  ml,25,50.24,7.04,45,820,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Smrinoff Green Apple Triple Distilled Vodka,180 ml,25,14.24,2.41,60,280,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Smrinoff Green Apple Triple Distilled Vodka,750  ml,25,58.61,4.16,60,960,12,,,,,,,,,,,,,,,,
IMFL,Vodka,Smrinoff Orange Triple Distilled Vodka,180 ml,25,14.24,2.41,60,280,48,,,,,,,,,,,,,,,,
IMFL,Vodka,Smrinoff Orange Triple Distilled Vodka,750  ml,25,,,,960,12,,,,,,,,,,,,,,,,
OS,Vodka,Stolichnaya Vodka,750  ml,25,,,,1880,12,,,,,,,,,,,,,,,,
OS,Vodka,Tito's Handmade Vodka,750  ml,25,,,,2960,12,,,,,,,,,,,,,,,,
IMFL,Vodka,White Mischief Green Apple Vodka,180 ml,25,,,,180,48,,,,,,,,,,,,,,,,
IMFL,Vodka,White Mischief Green Apple Vodka,375 ml,25,,,,350,24,,,,,,,,,,,,,,,,
IMFL,Vodka,White Mischief Green Apple Vodka,750  ml,25,,,,670,12,,,,,,,,,,,,,,,,
IMFL,Vodka,White Mischief Lemon Vodka,180 ml,25,10.09,0.84,25,180,48,,,,,,,,,,,,,,,,
IMFL,Vodka,White Mischief Lemon Vodka,375 ml,25,20.84,6.52,,350,24,,,,,,,,,,,,,,,,
IMFL,Vodka,White Mischief Lemon Vodka,750  ml,25,,,,670,12,,,,,,,,,,,,,,,,
IMFL,Vodka,White Mischief Orange Vodka,180 ml,25,,,,180,48,,,,,,,,,,,,,,,,
IMFL,Vodka,White Mischief Orange Vodka,375 ml,25,,,,350,24,,,,,,,,,,,,,,,,
IMFL,Vodka,White Mischief Orange Vodka,750  ml,25,,,,670,12,,,,,,,,,,,,,,,,
IMFL,Vodka,White Mischief Ultra Pure Vodka,180 ml,25,9.36,1.98,25,170,48,,,,,,,,,,,,,,,,
