Category,Type,Brand Name,Size,Opening Stock
IMFL,Beer,Corona Extra Premium Beer,330 ml,16
IMFL,Beer,Fosters Lager Beer,330 ml,16
IMFL,Beer,Fosters Lager Beer,500 ml,16
IMFL,Beer,Fosters Lager Beer,650 ml,16
IMFL,Beer,Haywards 5000 Premium Strong Beer,650 ml,16
IMFL,Beer,Haywards 5000 Premium Strong Beer,500 ml,16
IMFL,Beer,Haywards 5000 Super Strong Beer,650 ml,4161
IMFL,Beer,Haywards 5000 Super Strong Beer,500 ml,321
IMFL,Beer,Heineken Lager Beer,500 ml,321
IMFL,Beer,Heineken Lager Beer,650 ml,2
IMFL,Beer,Heineken Lager Beer,330 ml,5
IMFL,Beer,Heman 9000 Ultra Super Strong Beer,650 ml,6
IMFL,Beer,Hoegaarden Blanche Bier,330 ml,8
IMFL,Beer,Hoegaarden Witbier,330 ml,5
IMFL,Beer,Kalyani Black Label Strong Premium Beer,650 ml,9
IMFL,Beer,Kingfisher Premium Lager Beer,500 ml,8
IMFL,Beer,Kingfisher Premium Lager Beer,330 ml,9
IMFL,Beer,Kingfisher Premium Lager Beer,650 ml,16
IMFL,Beer,Kingfisher Special Lager Beer,650 ml,7
IMFL,Beer,Kingfisher Storm Premium Strong Beer,650 ml,4
IMFL,Beer,Kingfisher Storm Strong Beer,650 ml,75
IMFL,Beer,Kingfisher Storm Strong Beer,500 ml,7
IMFL,Beer,Kingfisher Strong Premium Beer,500 ml,8
IMFL,Beer,Kingfisher Strong Premium Beer,330 ml,9
IMFL,Beer,Kingfisher Strong Premium Beer,650 ml,1512
IMFL,Beer,Kingfisher Supreme Strong Beer,,1512
IMFL,Beer,Kingfisher Ultra Lager Beer,500 ml,1512
IMFL,Beer,Kingfisher Ultra Lager Beer,330 ml,1512
IMFL,Beer,Kingfisher Ultra Lager Beer,650 ml,1
IMFL,Beer,Kingfisher Ultra Max Premium Strong Beer,330 ml,1
IMFL,Beer,Kingfisher Ultra Max Premium Strong Beer,650 ml,1
IMFL,Beer,Kingfisher Ultra Witbier,330 ml,1
IMFL,Beer,Kingfisher Ultra Witbier,500 ml,1
IMFL,Beer,Kingfisher Ultra Witbier,650 ml,1
IMFL,Beer,Original Bira 91 White Beer,650 ml,1
IMFL,Beer,Original Bira 91 White Beer,500 ml,1
IMFL,Beer,Original Bira 91 White Beer,330 ml,1
IMFL,Beer,Original Bira91 White Beer,330 ml,1
IMFL,Beer,Original Bira91 White Beer,500 ml,1
IMFL,Beer,Premium Kiq,500 ml,97
IMFL,Beer,Premium Kiq,650 ml,97
IMFL,Beer,Premium Kiq Ultra Lager Beer,500 ml,97
IMFL,Beer,Premium Kiq Ultra Lager Beer,330 ml,97
IMFL,Beer,Premium Kiq Wheat Mild Beer,500 ml,97
IMFL,Beer,Premium Kiq Wheat Mild Beer,330 ml,97
IMFL,Beer,Royal Challenge Beer,330 ml,97
IMFL,Beer,Royal Challenge Beer,500 ml,97
IMFL,Beer,Royal Challenge Beer,650 ml,97
IMFL,Beer,Tuborg 1880 Classic Beer,650 ml,97
IMFL,Beer,Tuborg 1880 Mild Beer,650 ml,97
IMFL,Beer,Tuborg 1880 Mild Beer,330 ml,97
IMFL,Beer,Tuborg 1880 Strong Beer,650 ml,1522
IMFL,Beer,Tuborg Classic Black Gold Beer,650 ml,1522
IMFL,Beer,Tuborg Premium Mild 1880 Danish Beer,650 ml,1522
IMFL,Beer,Tuborg Strong Premium Beer,650 ml,1522
IMFL,Beer,Tuborg Supreme Strong Danish Beer,650 ml,1522
IMFL,Brandy,Bejois V.s.o.p. Blended Grape Brandy,750 ml,1522
IMFL,Brandy,Brihans Napoleon Brandy,750 ml,1522
IMFL,Brandy,Courier Napoleon Finest Pure Grape French Brandy,750 ml,1522
IMFL,Brandy,Doctor's Triple Crown Vsop Brandy,750 ml,11
IMFL,Brandy,Doctor's Triple Crown Vsop Brandy,180 ml,11
IMFL,Brandy,Doctor's Triple Crown Vsop Brandy,375 ml,11
IMFL,Brandy,Finest Mansion House French Brandy,750 ml,11
IMFL,Brandy,Finest Mansion House French Brandy,180 ml,11
IMFL,Brandy,Finest Mansion House French Brandy,375 ml,11
IMFL,Brandy,Golden Touch 24 Carat Xo Superior French Grape Brandy,750 ml,11
IMFL,Brandy,Honey Bee Premium Brandy,180 ml,11
IMFL,Brandy,Honey Bee Premium Brandy,375 ml,11
IMFL,Brandy,Honey Bee Premium Brandy,750 ml,11
IMFL,Brandy,Mansion House French Brandy,750 ml,11
IMFL,Brandy,Mount Brandy,180 ml,11
IMFL,Brandy,Mount Brandy,750 ml,11
IMFL,Brandy,Nautilus Premium Blended Xo Brandy,750 ml,11
IMFL,Brandy,Ti Courrier Napoleon Crafted French Brandy,750 ml,11
IMFL,Brandy,Ti Mansion House Rarest Spirit French Brandy,750 ml,11
IMFL,Brandy,Ti's Courrier Napoleon Classic French Brandy Green,750 ml,11
IMFL,Draught Beer,Caldera,20000 ml,11
